lexeme,variants,gen,sg,pl
à-côté,à-côté:accoté,m,akOte,akOte
à-coup,à-coup,m,aku,aku
à-peu-près,à-peu-près,m,apØpʁɛ,apØpʁɛ
à-pic,à-pic,m,apik,apik
à-plat,à-plat:aplat,m,apla,apla
à-propos,à-propos,m,apʁOpo,apʁOpo
à-valoir,à-valoir,m,avalwaʁ,avalwaʁ
a,a:ha,m,a,a
aa,aa,m,aa,aa
abaca,abaca,m,abaka,abaka
abaisse-langue,abaisse-langue,m,abɛslɑ̃g,abɛslɑ̃g
abaisse,abaisse:abbesse,f,abɛs,abɛs
abaissement,abaissement,m,abɛsəmɑ̃,abɛsəmɑ̃
abalone,abalone,m,abalɔn,abalɔn
abandon,abandon,m,abɑ̃dɔ̃,abɑ̃dɔ̃
abandonneur,abandonneur,m,abɑ̃dOnœʁ,abɑ̃dOnœʁ
abaque,abaque,m,abak,abak
abat-jour,abat-jour,m,abaʒuʁ,abaʒuʁ
abat-son,abat-son,m,abasɔ̃,abasɔ̃
abat,abat,m,aba,aba
abatage,abatage:abattage,m,abataʒ,abataʒ
abatis,abatis:abattis,m,abati,abati
abattant,abattant,m,abatɑ̃,abatɑ̃
abattement,abattement,m,abatəmɑ̃,abatəmɑ̃
abatteur,abatteur,m,abatœʁ,abatœʁ
abattoir,abattoir,m,abatwaʁ,abatwaʁ
abattu,abattu,m,abaty,abaty
abatture,abatture,f,abatyʁ,abatyʁ
abbatiale,abbatiale,f,abasjal,abasjal
abbaye,abbaye,f,abEi,abEi
abbé,abbé,m,abe,abe
abc,abc,m,abEse,abEse
abcès,abcès,m,apsɛ,apsɛ
abdication,abdication,f,abdikasjɔ̃,abdikasjɔ̃
abdo,abdo,m,abdo,abdo
abdomen,abdomen,m,abdOmɛn,abdOmɛn
abdominaux,abdominaux,m,#DEF#,abdOmino
abduction,abduction,f,abdyksjɔ̃,abdyksjɔ̃
abécédaire,abécédaire,m,abEsEdɛʁ,abEsEdɛʁ
abeille,abeille,f,abɛj,abɛj
aber,aber,m,abɛʁ,abɛʁ
aberration,aberration,f,abEʁasjɔ̃,abEʁasjɔ̃
abêtissement,abêtissement,m,abEtisəmɑ̃,abEtisəmɑ̃
abîme,abîme:abyme,m,abim,abim
abjection,abjection,f,abʒEksjɔ̃,abʒEksjɔ̃
abjuration,abjuration,f,abʒyʁasjɔ̃,abʒyʁasjɔ̃
ablatif,ablatif,m,ablatif,ablatif
ablation,ablation,f,ablasjɔ̃,ablasjɔ̃
able,able,m,abl,abl
ablette,ablette,f,ablɛt,ablɛt
ablution,ablution,f,ablysjɔ̃,ablysjɔ̃
abnégation,abnégation,f,abnEgasjɔ̃,abnEgasjɔ̃
aboi,aboi,m,abwa,abwa
aboiement,aboiement,m,abwamɑ̃,abwamɑ̃
abolition,abolition,f,abOlisjɔ̃,abOlisjɔ̃
abolitionniste,abolitionniste,b,abOlisjOnist,abOlisjOnist
abomination,abomination,f,abOminasjɔ̃,abOminasjɔ̃
abondance,abondance,f,abɔ̃dɑ̃s,abɔ̃dɑ̃s
abonné,abonné,m,abOne,abOne
abonnée,abonnée,f,abOne,abOne
abonnement,abonnement,m,abɔnəmɑ̃,abɔnəmɑ̃
abord,abord,m,abɔʁ,abɔʁ
abordage,abordage,m,abɔʁdaʒ,abɔʁdaʒ
aborigène,aborigène,b,abOʁiʒɛn,abOʁiʒɛn
abornement,abornement,m,abɔʁnəmɑ̃,abɔʁnəmɑ̃
abouchement,abouchement,m,abuʃəmɑ̃,abuʃəmɑ̃
aboulie,aboulie,f,abuli,abuli
aboulique,aboulique,b,abulik,abulik
abouna,abouna,m,abuna,abuna
about,about,m,abu,abu
aboutissant,aboutissant,m,abutisɑ̃,abutisɑ̃
aboutissement,aboutissement,m,abutisəmɑ̃,abutisəmɑ̃
aboyeur,aboyeur,m,abwajœʁ,abwajœʁ
abracadabra,abracadabra,m,abʁakadabʁa,abʁakadabʁa
abrasif,abrasif,m,abʁazif,abʁazif
abrasion,abrasion,f,abʁazjɔ̃,abʁazjɔ̃
abraxas,abraxas,m,abʁaksas,abʁaksas
abrégé,abrégé,m,abʁEʒe,abʁEʒe
abreuvage,abreuvage,m,abʁØvaʒ,abʁØvaʒ
abreuvoir,abreuvoir,m,abʁØvwaʁ,abʁØvwaʁ
abréviation,abréviation,f,abʁEvjasjɔ̃,abʁEvjasjɔ̃
abri-refuge,abri-refuge,m,abʁiʁəfyʒ,abʁiʁəfyʒ
abri,abri,m,abʁi,abʁi
abribus,abribus,m,abʁibys,abʁibys
abricot,abricot,m,abʁiko,abʁiko
abricotier,abricotier,m,abʁikOtje,abʁikOtje
abricotine,abricotine,f,abʁikOtin,abʁikOtin
abrogation,abrogation,f,abʁOgasjɔ̃,abʁOgasjɔ̃
abrupt,abrupt,m,abʁypt,abʁypt
abruti,abruti,m,abʁyti,abʁyti
abrutie,abrutie,f,abʁyti,abʁyti
abrutissement,abrutissement,m,abʁytisəmɑ̃,abʁytisəmɑ̃
abrutisseur,abrutisseur,m,abʁytisœʁ,abʁytisœʁ
abscisse,abscisse,f,apsis,apsis
abscission,abscission,f,apsisjɔ̃,apsisjɔ̃
absence,absence,f,apsɑ̃s,apsɑ̃s
absent,absent,m,apsɑ̃,apsɑ̃
absente,absente,f,apsɑ̃t,apsɑ̃t
absentéisme,absentéisme,m,apsɑ̃tEizm,apsɑ̃tEizm
absentéiste,absentéiste,b,apsɑ̃tEist,apsɑ̃tEist
abside,abside,f,apsid,apsid
absidiole,absidiole,f,apsidjɔl,apsidjɔl
absinthe,absinthe,f,apsɛ̃t,apsɛ̃t
absolu,absolu,m,apsOly,apsOly
absolution,absolution,f,apsOlysjɔ̃,apsOlysjɔ̃
absolutisme,absolutisme,m,apsOlytizm,apsOlytizm
absorbant,absorbant,m,apsɔʁbɑ̃,apsɔʁbɑ̃
absorbeur,absorbeur,m,apsɔʁbœʁ,apsɔʁbœʁ
absorption,absorption,f,apsɔʁpsjɔ̃,apsɔʁpsjɔ̃
absoute,absoute,f,apsut,apsut
abstention,abstention,f,apstɑ̃sjɔ̃,apstɑ̃sjɔ̃
abstentionniste,abstentionniste,b,apstɑ̃sjOnist,apstɑ̃sjOnist
abstinence,abstinence,f,apstinɑ̃s,apstinɑ̃s
abstraction,abstraction,f,apstʁaksjɔ̃,apstʁaksjɔ̃
abstrait,abstrait,m,apstʁɛ,apstʁɛ
absurde,absurde,m,apsyʁd,apsyʁd
absurdiste,absurdiste,b,apsyʁdist,apsyʁdist
absurdité,absurdité,f,apsyʁdite,apsyʁdite
abus,abus,m,aby,aby
abuseur,abuseur,m,abyzœʁ,abyzœʁ
abysse,abysse,m,abis,abis
abyssin,abyssin,m,abisɛ̃,abisɛ̃
abyssinienne,abyssinienne,f,abisinjɛn,abisinjɛn
acabit,acabit,m,akabi,akabi
acacia,acacia,m,akasja,akasja
académicien,académicien,m,akadEmisjɛ̃,akadEmisjɛ̃
académie,académie,f,akadEmi,akadEmi
académisme,académisme,m,akadEmizm,akadEmizm
acadien,acadien:akkadien,m,akadjɛ̃,akadjɛ̃
acadienne,acadienne,f,akadjɛn,akadjɛn
acajou,acajou,m,akaʒu,akaʒu
acanthe,acanthe,f,akɑ̃t,akɑ̃t
acarien,acarien,m,akaʁjɛ̃,akaʁjɛ̃
accablement,accablement,m,akabləmɑ̃,akabləmɑ̃
accalmie,accalmie,f,akalmi,akalmi
accastillage,accastillage,m,akastijaʒ,akastijaʒ
accélérateur,accélérateur,m,aksElEʁatœʁ,aksElEʁatœʁ
accélération,accélération,f,aksElEʁasjɔ̃,aksElEʁasjɔ̃
accéléré,accéléré,m,aksElEʁe,aksElEʁe
accent,accent,m,aksɑ̃,aksɑ̃
accenteur,accenteur,m,aksɑ̃tœʁ,aksɑ̃tœʁ
accentuation,accentuation,f,aksɑ̃tɥasjɔ̃,aksɑ̃tɥasjɔ̃
acceptant,acceptant,m,aksEptɑ̃,aksEptɑ̃
acceptation,acceptation,f,aksEptasjɔ̃,aksEptasjɔ̃
acception,acception,f,aksEpsjɔ̃,aksEpsjɔ̃
accès,accès,m,aksɛ,aksɛ
accesseur,accesseur,m,aksEsœʁ,aksEsœʁ
accessibilité,accessibilité,f,aksEsibilite,aksEsibilite
accession,accession,f,aksEsjɔ̃,aksEsjɔ̃
accessit,accessit,m,aksEsit,aksEsit
accessoire,accessoire,m,aksEswaʁ,aksEswaʁ
accessoiriste,accessoiriste,b,aksEswaʁist,aksEswaʁist
accident,accident,m,aksidɑ̃,aksidɑ̃
accidenté,accidenté,m,aksidɑ̃te,aksidɑ̃te
accidentée,accidentée,f,aksidɑ̃te,aksidɑ̃te
acclamation,acclamation,f,aklamasjɔ̃,aklamasjɔ̃
acclimatation,acclimatation,f,aklimatasjɔ̃,aklimatasjɔ̃
acclimatement,acclimatement,m,aklimatəmɑ̃,aklimatəmɑ̃
accointance,accointance,f,akwɛ̃tɑ̃s,akwɛ̃tɑ̃s
accolade,accolade,f,akOlad,akOlad
accolement,accolement,m,akɔləmɑ̃,akɔləmɑ̃
accommodation,accommodation,f,akOmOdasjɔ̃,akOmOdasjɔ̃
accommodement,accommodement,m,akOmɔdəmɑ̃,akOmɔdəmɑ̃
accompagnateur,accompagnateur,m,akɔ̃paɲatœʁ,akɔ̃paɲatœʁ
accompagnatrice,accompagnatrice,f,akɔ̃paɲatʁis,akɔ̃paɲatʁis
accompagnement,accompagnement,m,akɔ̃paɲəmɑ̃,akɔ̃paɲəmɑ̃
accompli,accompli,m,akɔ̃pli,akɔ̃pli
accomplissement,accomplissement,m,akɔ̃plisəmɑ̃,akɔ̃plisəmɑ̃
accord,accord:accore,m,akɔʁ,akɔʁ
accordailles,accordailles,f,#DEF#,akɔʁdaj
accordé,accordé,m,akɔʁde,akɔʁde
accordée,accordée,f,akɔʁde,akɔʁde
accordement,accordement,m,akɔʁdəmɑ̃,akɔʁdəmɑ̃
accordéon,accordéon,m,akɔʁdeɔ̃,akɔʁdeɔ̃
accordéoniste,accordéoniste,b,akɔʁdEOnist,akɔʁdEOnist
accordeur,accordeur,m,akɔʁdœʁ,akɔʁdœʁ
accordo,accordo,m,akɔʁdo,akɔʁdo
accostage,accostage,m,akOstaʒ,akOstaʒ
accotement,accotement,m,akɔtəmɑ̃,akɔtəmɑ̃
accotoir,accotoir,m,akOtwaʁ,akOtwaʁ
accouchée,accouchée,f,akuʃe,akuʃe
accouchement,accouchement,m,akuʃəmɑ̃,akuʃəmɑ̃
accoucheur,accoucheur,m,akuʃœʁ,akuʃœʁ
accoucheuse,accoucheuse,f,akuʃøz,akuʃøz
accoudoir,accoudoir,m,akudwaʁ,akudwaʁ
accouplement,accouplement,m,akupləmɑ̃,akupləmɑ̃
accoutrement,accoutrement,m,akutʁəmɑ̃,akutʁəmɑ̃
accoutumance,accoutumance,f,akutymɑ̃s,akutymɑ̃s
accra,accra:acra,m,akʁa,akʁa
accréditation,accréditation,f,akʁEditasjɔ̃,akʁEditasjɔ̃
accrédité,accrédité,m,akʁEdite,akʁEdite
accréditif,accréditif,m,akʁEditif,akʁEditif
accrétion,accrétion,f,akʁEsjɔ̃,akʁEsjɔ̃
accro,accro:accroc,m,akʁo,akʁo
accrochage,accrochage,m,akʁOʃaʒ,akʁOʃaʒ
accroche-coeur,accroche-coeur,m,akʁɔʃkœʁ,akʁɔʃkœʁ
accroche,accroche,f,akʁɔʃ,akʁɔʃ
accroissement,accroissement,m,akʁwasəmɑ̃,akʁwasəmɑ̃
accroupissement,accroupissement,m,akʁupisəmɑ̃,akʁupisəmɑ̃
accrue,accrue,f,akʁy,akʁy
accu,accu,m,aky,aky
accueil,accueil,m,akœj,akœj
acculturation,acculturation,f,akyltyʁasjɔ̃,akyltyʁasjɔ̃
accumulateur,accumulateur,m,akymylatœʁ,akymylatœʁ
accumulation,accumulation,f,akymylasjɔ̃,akymylasjɔ̃
accusateur,accusateur,m,akyzatœʁ,akyzatœʁ
accusatif,accusatif,m,akyzatif,akyzatif
accusation,accusation,f,akyzasjɔ̃,akyzasjɔ̃
accusatrice,accusatrice,f,akyzatʁis,akyzatʁis
accusé,accusé,m,akyze,akyze
accusée,accusée,f,akyze,akyze
ace,ace,m,ɛs,ɛs
acéphale,acéphale,m,asEfal,asEfal
acerbité,acerbité,m,asɛʁbite,asɛʁbite
acetabulum,acetabulum,m,asEtabylɔm,asEtabylɔm
acétate,acétate,m,asEtat,asEtat
acétone,acétone,f,asEtɔn,asEtɔn
acétylcholine,acétylcholine,f,asEtilkOlin,asEtilkOlin
acétylène,acétylène,m,asEtilɛn,asEtilɛn
achalandage,achalandage,m,aʃalɑ̃daʒ,aʃalɑ̃daʒ
achard,achard:hachard,m,aʃaʁ,aʃaʁ
acharnement,acharnement,m,aʃaʁnəmɑ̃,aʃaʁnəmɑ̃
achat,achat,m,aʃa,aʃa
ache,ache:hache,f,aʃ,aʃ
achélème,achélème,m,akElɛm,akElɛm
acheminement,acheminement,m,aʃəminəmɑ̃,aʃəminəmɑ̃
acheteur,acheteur,m,aʃətœʁ,aʃətœʁ
acheteuse,acheteuse,f,aʃətøz,aʃətøz
achèvement,achèvement,m,aʃɛvəmɑ̃,aʃɛvəmɑ̃
achillée,achillée,f,akile,akile
achondroplasie,achondroplasie,f,akɔ̃dʁOplazi,akɔ̃dʁOplazi
achoppement,achoppement,m,aʃɔpəmɑ̃,aʃɔpəmɑ̃
acid jazz,acid jazz,m,asiddʒaz,asiddʒaz
acide,acide,m,asid,asid
acidité,acidité,f,asidite,asidite
acidocétose,acidocétose,f,asidOsEtoz,asidOsEtoz
acidose,acidose,f,asidoz,asidoz
acier,acier,m,asje,asje
aciérie,aciérie,f,asjEʁi,asjEʁi
acmé,acmé,f,akme,akme
acné,acné,f,akne,akne
acolyte,acolyte,m,akOlit,akOlit
acompte,acompte,m,akɔ̃t,akɔ̃t
aconier,aconier,m,akOnje,akOnje
aconit,aconit,m,akOnit,akOnit
acouphène,acouphène,m,akufɛn,akufɛn
acoustique,acoustique,f,akustik,akustik
acqua-toffana,acqua-toffana,f,akwatOfana,akwatOfana
acquéreur,acquéreur,m,akEʁœʁ,akEʁœʁ
acquêt,acquêt:haquet,m,akɛ,akɛ
acquiescement,acquiescement,m,akjEsəmɑ̃,akjEsəmɑ̃
acquis,acquis:acquit,m,aki,aki
acquisition,acquisition,f,akizisjɔ̃,akizisjɔ̃
acquitté,acquitté,m,akite,akite
acquittement,acquittement,m,akitəmɑ̃,akitəmɑ̃
acre,acre,f,akʁ,akʁ
âcreté,âcreté,f,akʁəte,akʁəte
acrimonie,acrimonie,f,akʁimOni,akʁimOni
acrobate,acrobate,b,akʁObat,akʁObat
acrobatie,acrobatie,f,akʁObasi,akʁObasi
acromion,acromion,m,akʁOmjɔ̃,akʁOmjɔ̃
acronyme,acronyme,m,akʁOnim,akʁOnim
acrophobie,acrophobie,f,akʁOfObi,akʁOfObi
acropole,acropole,f,akʁOpɔl,akʁOpɔl
acrostiche,acrostiche,m,akʁOstiʃ,akʁOstiʃ
acrotère,acrotère,m,akʁOtɛʁ,akʁOtɛʁ
acrylique,acrylique,m,akʁilik,akʁilik
acrylonitrile,acrylonitrile,m,akʁilOnitʁil,akʁilOnitʁil
acte,acte,m,akt,akt
acteur,acteur,m,aktœʁ,aktœʁ
actif,actif,m,aktif,aktif
actine,actine,f,aktin,aktin
actinie,actinie,f,aktini,aktini
action painting,action painting,f,akʃœnpEntiŋ,akʃœnpEntiŋ
action,action,f,aksjɔ̃,aksjɔ̃
actionnaire,actionnaire,b,aksjOnɛʁ,aksjOnɛʁ
actionnariat,actionnariat,m,aksjOnaʁja,aksjOnaʁja
actionnement,actionnement,m,aksjɔnəmɑ̃,aksjɔnəmɑ̃
actionneur,actionneur,m,aksjOnœʁ,aksjOnœʁ
activateur,activateur,m,aktivatœʁ,aktivatœʁ
activation,activation,f,aktivasjɔ̃,aktivasjɔ̃
activisme,activisme,m,aktivizm,aktivizm
activiste,activiste,b,aktivist,aktivist
activité,activité,f,aktivite,aktivite
actrice,actrice,f,aktʁis,aktʁis
actuaire,actuaire,b,aktɥɛʁ,aktɥɛʁ
actualisation,actualisation,f,aktɥalizasjɔ̃,aktɥalizasjɔ̃
actualité,actualité,f,aktɥalite,aktɥalite
actuation,actuation,f,aktɥasjɔ̃,aktɥasjɔ̃
acuité,acuité,f,akɥite,akɥite
acumen,acumen,m,akymɛn,akymɛn
acuponcteur,acuponcteur:acupuncteur,m,akypɔ̃ktœʁ,akypɔ̃ktœʁ
acuponcture,acuponcture:acupuncture,f,akypɔ̃ktyʁ,akypɔ̃ktyʁ
ada,ada,m,ada,ada
adage,adage,m,adaʒ,adaʒ
adagio,adagio,m,adadʒjo,adadʒjo
adaptabilité,adaptabilité,f,adaptabilite,adaptabilite
adaptateur,adaptateur,m,adaptatœʁ,adaptatœʁ
adaptation,adaptation,f,adaptasjɔ̃,adaptasjɔ̃
addenda,addenda,m,adɛ̃da,adɛ̃da
addendum,addendum,m,adɛ̃dɔm,adɛ̃dɔm
addiction,addiction,f,adiksjɔ̃,adiksjɔ̃
additif,additif,m,aditif,aditif
addition,addition,f,adisjɔ̃,adisjɔ̃
adducteur,adducteur,m,adyktœʁ,adyktœʁ
adduction,adduction,f,adyksjɔ̃,adyksjɔ̃
adénine,adénine,f,adEnin,adEnin
adénocarcinome,adénocarcinome,m,adEnOkaʁsinom,adEnOkaʁsinom
adénome,adénome,m,adEnom,adEnom
adénopathie,adénopathie,f,adEnOpati,adEnOpati
adénosine,adénosine,f,adEnOzin,adEnOzin
adénovirus,adénovirus,m,adEnOviʁys,adEnOviʁys
adent,adent,m,adɑ̃,adɑ̃
adepte,adepte,b,adɛpt,adɛpt
adéquation,adéquation,f,adEkwasjɔ̃,adEkwasjɔ̃
adhérence,adhérence,f,adEʁɑ̃s,adEʁɑ̃s
adhérent,adhérent,m,adEʁɑ̃,adEʁɑ̃
adhésif,adhésif,m,adEzif,adEzif
adhésion,adhésion,f,adEzjɔ̃,adEzjɔ̃
adieu,adieu,m,adjø,adjø
adiposité,adiposité,f,adipOzite,adipOzite
adja,adja,m,adʒa,adʒa
adjectif,adjectif,m,adʒEktif,adʒEktif
adjoint,adjoint,m,adʒwɛ̃,adʒwɛ̃
adjointe,adjointe,f,adʒwɛ̃t,adʒwɛ̃t
adjonction,adjonction,f,adʒɔ̃ksjɔ̃,adʒɔ̃ksjɔ̃
adjudant-chef,adjudant-chef,m,adʒydɑ̃ʃɛf,adʒydɑ̃ʃɛf
adjudant-major,adjudant-major,m,adʒydɑ̃maʒɔʁ,adʒydɑ̃maʒɔʁ
adjudant,adjudant,m,adʒydɑ̃,adʒydɑ̃
adjudication,adjudication,f,adʒydikasjɔ̃,adʒydikasjɔ̃
adjupète,adjupète,m,adʒypɛt,adʒypɛt
adjuration,adjuration,f,adʒyʁasjɔ̃,adʒyʁasjɔ̃
adjutrice,adjutrice,f,adʒytʁis,adʒytʁis
adjuvant,adjuvant,m,adʒyvɑ̃,adʒyvɑ̃
administrateur,administrateur,m,administʁatœʁ,administʁatœʁ
administratif,administratif,m,administʁatif,administʁatif
administration,administration,f,administʁasjɔ̃,administʁasjɔ̃
administrative,administrative,f,administʁativ,administʁativ
administratrice,administratrice,f,administʁatʁis,administʁatʁis
administré,administré,m,administʁe,administʁe
administrée,administrée,f,administʁe,administʁe
admirateur,admirateur,m,admiʁatœʁ,admiʁatœʁ
admiration,admiration,f,admiʁasjɔ̃,admiʁasjɔ̃
admiratrice,admiratrice,f,admiʁatʁis,admiʁatʁis
admis,admis,m,admi,admi
admissibilité,admissibilité,f,admisibilite,admisibilite
admissible,admissible,b,admisibl,admisibl
admission,admission,f,admisjɔ̃,admisjɔ̃
admixtion,admixtion,f,admikstjɔ̃,admikstjɔ̃
admonestation,admonestation,f,admOnEstasjɔ̃,admOnEstasjɔ̃
admonition,admonition,f,admOnisjɔ̃,admOnisjɔ̃
ado,ado,b,ado,ado
adobe,adobe,m,adɔb,adɔb
adolescence,adolescence,f,adOlEsɑ̃s,adOlEsɑ̃s
adolescent,adolescent,m,adOlEsɑ̃,adOlEsɑ̃
adolescente,adolescente,f,adOlEsɑ̃t,adOlEsɑ̃t
adon,adon,m,adɔ̃,adɔ̃
adonie,adonie,f,adOni,adOni
adonis,adonis,m,adOnis,adOnis
adoptant,adoptant,m,adOptɑ̃,adOptɑ̃
adopté,adopté,m,adOpte,adOpte
adoptée,adoptée,f,adOpte,adOpte
adoption,adoption,f,adOpsjɔ̃,adOpsjɔ̃
adorateur,adorateur,m,adOʁatœʁ,adOʁatœʁ
adoration,adoration,f,adOʁasjɔ̃,adOʁasjɔ̃
adoratrice,adoratrice,f,adOʁatʁis,adOʁatʁis
ados,ados,m,ado,ado
adoubement,adoubement,m,adubəmɑ̃,adubəmɑ̃
adoucissant,adoucissant,m,adusisɑ̃,adusisɑ̃
adoucissement,adoucissement,m,adusisəmɑ̃,adusisəmɑ̃
adoucisseur,adoucisseur,m,adusisœʁ,adusisœʁ
adp,adp,m,adepe,adepe
adrénaline,adrénaline,f,adʁEnalin,adʁEnalin
adressage,adressage,m,adʁEsaʒ,adʁEsaʒ
adresse,adresse,f,adʁɛs,adʁɛs
adret,adret,m,adʁɛ,adʁɛ
adulateur,adulateur,m,adylatœʁ,adylatœʁ
adulation,adulation,f,adylasjɔ̃,adylasjɔ̃
adultat,adultat,m,adylta,adylta
adulte,adulte,b,adylt,adylt
adultération,adultération,f,adyltEʁasjɔ̃,adyltEʁasjɔ̃
adultère,adultère,m,adyltɛʁ,adyltɛʁ
adventiste,adventiste,b,advɑ̃tist,advɑ̃tist
adverbe,adverbe,m,advɛʁb,advɛʁb
adversaire,adversaire,b,advɛʁsɛʁ,advɛʁsɛʁ
adversité,adversité,f,advɛʁsite,advɛʁsite
aède,aède,m,aɛd,aɛd
aegipan,aegipan:égipan,m,Eʒipɑ̃,Eʒipɑ̃
aérage,aérage,m,aEʁaʒ,aEʁaʒ
aérateur,aérateur,m,aEʁatœʁ,aEʁatœʁ
aération,aération,f,aEʁasjɔ̃,aEʁasjɔ̃
aérien,aérien,m,aEʁjɛ̃,aEʁjɛ̃
aéro-club,aéro-club,m,aEʁOklœb,aEʁOklœb
aéro,aéro,m,aEʁo,aEʁo
aérobic,aérobic,m,aEʁObik,aEʁObik
aérodrome,aérodrome,m,aEʁodʁom,aEʁodʁom
aérodynamique,aérodynamique,f,aEʁOdinamik,aEʁOdinamik
aérodynamisme,aérodynamisme,m,aEʁodinamizm,aEʁodinamizm
aérofrein,aérofrein,m,aEʁOfʁɛ̃,aEʁOfʁɛ̃
aérogare,aérogare,f,aEʁOgaʁ,aEʁOgaʁ
aéroglisseur,aéroglisseur,m,aEʁOglisœʁ,aEʁOglisœʁ
aérographe,aérographe,m,aEʁOgʁaf,aEʁOgʁaf
aérolithe,aérolithe,m,aEʁOlit,aEʁOlit
aérologie,aérologie,f,aEʁOlOʒi,aEʁOlOʒi
aéromodélisme,aéromodélisme,m,aEʁOmOdElizm,aEʁOmOdElizm
aéronaute,aéronaute,b,aEʁOnot,aEʁOnot
aéronautique,aéronautique,f,aEʁonotik,aEʁonotik
aéronavale,aéronavale,f,aEʁOnaval,aEʁOnaval
aéronef,aéronef,m,aEʁOnɛf,aEʁOnɛf
aéropathie,aéropathie,f,aEʁOpati,aEʁOpati
aérophagie,aérophagie,f,aEʁOfaʒi,aEʁOfaʒi
aéroplane,aéroplane,m,aEʁOplan,aEʁOplan
aéroport,aéroport,m,aEʁOpɔʁ,aEʁOpɔʁ
aéropostale,aéropostale,f,aEʁOpOstal,aEʁOpOstal
aérosol,aérosol,m,aEʁOsɔl,aEʁOsɔl
aérospatiale,aérospatiale,f,aEʁOspasjal,aEʁOspasjal
aérostat,aérostat,m,aEʁOsta,aEʁOsta
aérostier,aérostier,m,aEʁOstje,aEʁOstje
aérotrain,aérotrain,m,aEʁOtʁɛ̃,aEʁOtʁɛ̃
affabilité,affabilité,f,afabilite,afabilite
affabulation,affabulation,f,afabylasjɔ̃,afabylasjɔ̃
affabulatrice,affabulatrice,f,afabylatʁis,afabylatʁis
affacturage,affacturage,m,afaktyʁaʒ,afaktyʁaʒ
affadissement,affadissement,m,afadisəmɑ̃,afadisəmɑ̃
affaiblissement,affaiblissement,m,afEblisəmɑ̃,afEblisəmɑ̃
affaire,affaire,f,afɛʁ,afɛʁ
affairé,affairé,m,afEʁe,afEʁe
affairée,affairée,f,afEʁe,afEʁe
affairement,affairement,m,afɛʁəmɑ̃,afɛʁəmɑ̃
affairisme,affairisme,m,afEʁizm,afEʁizm
affairiste,affairiste,b,afEʁist,afEʁist
affaissement,affaissement,m,afEsəmɑ̃,afEsəmɑ̃
affalement,affalement,m,afaləmɑ̃,afaləmɑ̃
affamé,affamé,m,afame,afame
affamée,affamée,f,afame,afame
affect,affect,m,afɛkt,afɛkt
affectation,affectation,f,afEktasjɔ̃,afEktasjɔ̃
affection,affection,f,afEksjɔ̃,afEksjɔ̃
affectivité,affectivité,f,afEktivite,afEktivite
affermissement,affermissement,m,afɛʁmisəmɑ̃,afɛʁmisəmɑ̃
afféterie,afféterie,f,afEtəʁi,afEtəʁi
affichage,affichage,m,afiʃaʒ,afiʃaʒ
affiche,affiche,f,afiʃ,afiʃ
affichette,affichette,f,afiʃɛt,afiʃɛt
afficheur,afficheur,m,afiʃœʁ,afiʃœʁ
affichiste,affichiste,b,afiʃist,afiʃist
affidavit,affidavit,m,afidavi,afidavi
affidé,affidé,m,afide,afide
affiliation,affiliation,f,afiljasjɔ̃,afiljasjɔ̃
affilié,affilié,m,afilje,afilje
affiliée,affiliée,f,afilje,afilje
affinage,affinage,m,afinaʒ,afinaʒ
affinement,affinement,m,afinəmɑ̃,afinəmɑ̃
affinité,affinité,f,afinite,afinite
affiquet,affiquet,m,afikɛ,afikɛ
affirmation,affirmation,f,afiʁmasjɔ̃,afiʁmasjɔ̃
affirmative,affirmative,f,afiʁmativ,afiʁmativ
affleurement,affleurement,m,aflœʁəmɑ̃,aflœʁəmɑ̃
affliction,affliction,f,afliksjɔ̃,afliksjɔ̃
affluence,affluence,f,aflyɑ̃s,aflyɑ̃s
affluent,affluent,m,aflyɑ̃,aflyɑ̃
afflux,afflux,m,afly,afly
affolement,affolement,m,afɔləmɑ̃,afɔləmɑ̃
affouage,affouage,m,afwaʒ,afwaʒ
affouillement,affouillement,m,afujəmɑ̃,afujəmɑ̃
affranchi,affranchi,m,afʁɑ̃ʃi,afʁɑ̃ʃi
affranchie,affranchie,f,afʁɑ̃ʃi,afʁɑ̃ʃi
affranchissement,affranchissement,m,afʁɑ̃ʃisəmɑ̃,afʁɑ̃ʃisəmɑ̃
affre,affre,f,afʁ,afʁ
affrètement,affrètement,m,afʁɛtəmɑ̃,afʁɛtəmɑ̃
affréteur,affréteur,m,afʁEtœʁ,afʁEtœʁ
affreux,affreux,m,afʁø,afʁø
affront,affront,m,afʁɔ̃,afʁɔ̃
affrontement,affrontement,m,afʁɔ̃təmɑ̃,afʁɔ̃təmɑ̃
affublement,affublement,m,afybləmɑ̃,afybləmɑ̃
affusion,affusion,f,afyzjɔ̃,afyzjɔ̃
affût,affût,m,afy,afy
affûtage,affûtage,m,afytaʒ,afytaʒ
affûteur,affûteur,m,afytœʁ,afytœʁ
afghan,afghan,m,afgɑ̃,afgɑ̃
afghane,afghane,f,afgan,afgan
aficionado,aficionado,m,afisjOnado,afisjOnado
africain,africain,m,afʁikɛ̃,afʁikɛ̃
africaine,africaine,f,afʁikɛn,afʁikɛn
africanisme,africanisme,m,afʁikanism,afʁikanism
afrikaans,afrikaans,m,afʁikɑ̃s,afʁikɑ̃s
afrikaner,afrikaner,b,afʁikanɛʁ,afʁikanɛʁ
